Carrier,Region,Start_Date,,,,,,,,,
AA,Domestic,1/1/1960,,,,,,,,,
TK,International,10/1/1987,,,,,,,,,
KZ,International,1/1/1988,,,,,,,,,
BCQ,International,7/1/1988,,,,,,,,,
CYQ,International,7/1/1988,,,,,,,,,
ZB,International,11/1/1988,,,,,,,,,
BY,International,4/1/1989,,,,,,,,,
OS,International,6/1/1989,,,,,,,,,
8C,Atlantic,7/1/1989,,,,,,,,,
8C,Domestic,10/1/1988,,,,,,,,,
JR,International,7/1/1989,,,,,,,,,
KA,International,1/1/1990,,,,,,,,,
KX,International,5/1/1990,,,,,,,,,
5X,Pacific,7/1/1990,,,,,,,,,
5X,Latin America,7/1/1990,,,,,,,,,
5X,Atlantic,7/1/1990,,,,,,,,,
5X,Domestic,10/1/1988,,,,,,,,,
AS,Latin America,10/1/1990,,,,,,,,,
AS,Domestic,1/1/1960,,,,,,,,,
7P,International,11/1/1990,,,,,,,,,
NZ,International,11/1/1990,,,,,,,,,
QT,International,2/1/1990,,,,,,,,,
MU,International,8/1/1991,,,,,,,,,
TS,International,9/1/1991,,,,,,,,,
4N,International,1/1/1992,,,,,,,,,
UA,Pacific,3/1/1983,,,,,,,,,
UA,Latin America,1/1/1992,,,,,,,,,
UA,Atlantic,5/1/1990,,,,,,,,,
UA,Domestic,1/1/1960,,,,,,,,,
KTQ,International,5/1/1992,,,,,,,,,
6Y,International,7/1/1992,,,,,,,,,
SI,Domestic,7/1/1992,,,,,,,,,
BR,International,12/1/1992,,,,,,,,,
5Y,International,1/1/2008,,,,,,,,,
5Y,Domestic,1/1/2008,,,,,,,,,
MA,International,5/1/1993,,,,,,,,,
6U,International,11/1/1993,,,,,,,,,
BG,International,12/1/1993,,,,,,,,,
ZW,Domestic,1/1/1994,,,,,,,,,
8L,International,6/1/1994,,,,,,,,,
FJ,International,7/1/1994,,,,,,,,,
HY,International,4/1/1995,,,,,,,,,
QO,International,6/1/1995,,,,,,,,,
7B,International,11/1/1995,,,,,,,,,
PO,Latin America,1/1/2015,,,,,,,,,
PO,Pacific,1/1/2015,,,,,,,,,
PO,Atlantic,1/1/2015,,,,,,,,,
PO,Domestic,1/1/2015,,,,,,,,,
FX,Pacific,8/1/1996,,,,,,,,,
FX,Atlantic,8/1/1996,,,,,,,,,
FX,Latin America,8/1/1996,,,,,,,,,
FX,Domestic,8/1/1996,,,,,,,,,
NC,Domestic,8/1/1996,,,,,,,,,
NC,International,1/1/2013,,,,,,,,,
ADB,International,8/1/2010,,,,,,,,,
DHQ,International,11/1/1996,,,,,,,,,
UX,International,6/1/2009,,,,,,,,,
DE,International,2/1/1997,,,,,,,,,
CZ,International,6/1/1997,,,,,,,,,
CC,International,11/1/1997,,,,,,,,,
MP,International,1/1/1998,,,,,,,,,
M6,Latin America,1/1/2007,,,,,,,,,
M6,Domestic,1/1/2007,,,,,,,,,
6A,International,5/1/1998,,,,,,,,,
ET,International,6/1/1998,,,,,,,,,
BGQ,International,7/1/1998,,,,,,,,,
VH,International,7/1/1998,,,,,,,,,
M3,International,8/1/1998,,,,,,,,,
TN,International,11/1/1998,,,,,,,,,
GFQ,International,1/1/2012,,,,,,,,,
GFQ,Domestic,1/1/2012,,,,,,,,,
JJ,International,12/1/1998,,,,,,,,,
L2,Domestic,1/1/2015,,,,,,,,,
L2,International,1/1/2015,,,,,,,,,
PFQ,International,1/1/2010,,,,,,,,,
PFQ,Domestic,1/1/2010,,,,,,,,,
6B,International,7/1/2008,,,,,,,,,
OK,International,9/1/1999,,,,,,,,,
LP,International,11/1/1999,,,,,,,,,
N6,International,11/1/1999,,,,,,,,,
9S,International,1/1/2008,,,,,,,,,
9S,Domestic,1/1/2008,,,,,,,,,
WI,International,1/1/2012,,,,,,,,,
WI,Domestic,1/1/2012,,,,,,,,,
5C,International,9/1/2000,,,,,,,,,
AMQ,International,9/1/2000,,,,,,,,,
AMQ,System,9/1/2000,,,,,,,,,
AMQ,Domestic,9/1/2000,,,,,,,,,
QK,International,1/1/2011,,,,,,,,,
XP,Latin America,1/1/2015,,,,,,,,,
XP,Domestic,1/1/2015,,,,,,,,,
TQQ,International,2/1/2001,,,,,,,,,
NQ,International,3/1/2001,,,,,,,,,
PBQ,International,3/1/2001,,,,,,,,,
POQ,International,4/1/2001,,,,,,,,,
E7,International,1/1/2002,,,,,,,,,
KAT,Domestic,1/1/2002,,,,,,,,,
KS,Domestic,4/1/2006,,,,,,,,,
SNK,Domestic,1/1/2002,,,,,,,,,
V4,International,1/1/2002,,,,,,,,,
WS,International,1/1/2002,,,,,,,,,
LX,International,4/1/2002,,,,,,,,,
8R,International,5/1/2002,,,,,,,,,
4S,International,7/1/2002,,,,,,,,,
AX,Domestic,1/1/2008,,,,,,,,,
A4,International,9/1/2002,,,,,,,,,
5D,International,10/1/2002,,,,,,,,,
9K,Domestic,10/1/2002,,,,,,,,,
9M,International,10/1/2002,,,,,,,,,
CH,Domestic,1/1/2006,,,,,,,,,
E72,International,10/1/2002,,,,,,,,,
ELL,Domestic,10/1/2002,,,,,,,,,
EM,Domestic,10/1/2002,,,,,,,,,
GCH,Domestic,10/1/2002,,,,,,,,,
GSQ,International,10/1/2002,,,,,,,,,
JB,International,10/1/2010,,,,,,,,,
KAH,Domestic,10/1/2002,,,,,,,,,
NEW,Domestic,10/1/2002,,,,,,,,,
OZ,International,11/1/1991,,,,,,,,,
SEB,Domestic,10/1/2002,,,,,,,,,
WRD,Domestic,11/1/2001,,,,,,,,,
WP,Domestic,1/1/2013,,,,,,,,,
WST,Domestic,1/1/2016,,,,,,,,,
ZX,International,10/1/2002,,,,,,,,,
NLQ,International,1/1/2003,,,,,,,,,
OO,Latin America,7/1/2011,,,,,,,,,
OO,Domestic,1/1/2006,,,,,,,,,
WE,Latin America,1/1/2009,,,,,,,,,
VV,International,3/1/2003,,,,,,,,,
K8,International,1/1/2015,,,,,,,,,
K8,Domestic,1/1/2015,,,,,,,,,
W8,International,3/1/2003,,,,,,,,,
2E,Domestic,4/1/2003,,,,,,,,,
2F,Domestic,4/1/2003,,,,,,,,,
4EQ,Domestic,1/1/2015,,,,,,,,,
4W,Domestic,4/1/2003,,,,,,,,,
4Y,Domestic,4/1/2003,,,,,,,,,
7H,Domestic,4/1/2003,,,,,,,,,
7S,Domestic,4/1/2003,,,,,,,,,
8E,Domestic,4/1/2003,,,,,,,,,
8V,Domestic,4/1/2003,,,,,,,,,
MT,International,5/1/2008,,,,,,,,,
H6,Domestic,4/1/2003,,,,,,,,,
J5,Domestic,4/1/2013,,,,,,,,,
K5,Domestic,1/1/2016,,,,,,,,,
KO,Domestic,4/1/2003,,,,,,,,,
Q5,Domestic,4/1/2003,,,,,,,,,
V8,Domestic,4/1/2003,,,,,,,,,
XL,International,4/1/2003,,,,,,,,,
8D,Domestic,1/1/2016,,,,,,,,,
AJQ,Domestic,10/1/2016,,,,,,,,,
ZK,Domestic,8/1/2006,,,,,,,,,
TBQ,International,9/1/2003,,,,,,,,,
S4,International,10/1/2003,,,,,,,,,
CK,International,12/1/2003,,,,,,,,,
9E,Latin America,8/1/2013,,,,,,,,,
9E,Domestic,8/1/2013,,,,,,,,,
C6,International,1/1/2004,,,,,,,,,
EV,Domestic,1/1/2013,,,,,,,,,
EV,Latin America,1/1/2013,,,,,,,,,
G4,Latin America,1/1/2016,,,,,,,,,
G4,Domestic,1/1/2016,,,,,,,,,
KAQ,International,1/1/2015,,,,,,,,,
KAQ,Domestic,1/1/2015,,,,,,,,,
KLQ,International,1/1/2012,,,,,,,,,
KLQ,Domestic,1/1/2012,,,,,,,,,
PPQ,International,1/1/2004,,,,,,,,,
TZQ,International,1/1/2004,,,,,,,,,
X9,International,10/1/2016,,,,,,,,,
X9,Domestic,10/1/2016,,,,,,,,,
YV,Latin America,7/1/2011,,,,,,,,,
YV,Domestic,1/1/2010,,,,,,,,,
PEQ,International,11/1/2010,,,,,,,,,
