passangers,freight,mail,airline_id,year,month,class,ramp_to_ramp,air_time,origin_airport_id,destination_airport_id,aircraft_type,carrier,flight_id
6328,0,0,20436,2017,6,F,3416,2507,12889,11292,699,F9,1353
5148,0,0,20436,2017,6,F,7391,6495,12953,11292,694,F9,1354
4243,0,0,20436,2017,6,F,6637,5973,13204,11109,698,F9,1355
6482,0,0,20436,2017,6,F,4541,3779,13244,11292,699,F9,1356
4934,0,0,20436,2017,6,F,7752,6635,13303,11292,694,F9,1357
5291,0,0,20436,2017,6,F,5112,4362,13495,11292,694,F9,1358
4940,0,0,20436,2017,6,F,3092,2257,13871,11292,694,F9,1359
6037,0,0,20436,2017,6,F,4553,3634,14057,11292,699,F9,1360
5089,0,0,20436,2017,6,F,7638,6518,14100,11292,694,F9,1361
4107,0,0,20436,2017,6,F,7504,6384,14100,11292,698,F9,1362
4175,0,0,20436,2017,6,F,3001,2338,14107,11109,698,F9,1363
4543,0,0,20436,2017,6,F,6090,5329,14122,11292,694,F9,1364
6308,0,0,20436,2017,6,F,4209,3337,14679,11292,699,F9,1365
6262,0,0,20436,2017,6,F,4603,3723,14747,11292,699,F9,1366
6107,0,0,20436,2017,6,F,2672,1701,14869,11292,699,F9,1367
6556,0,0,20436,2017,6,F,4169,3368,15016,11292,699,F9,1368
4031,0,0,20436,2017,6,F,6733,5890,15304,11292,698,F9,1369
4029,0,0,20416,2017,6,F,3221,2597,11292,11298,694,NK,1370
3682,0,0,20416,2017,6,F,4365,3529,11292,12892,698,NK,1371
4741,0,0,20416,2017,6,F,3487,2775,11292,13487,694,NK,1372
3987,0,0,20416,2017,6,F,4203,3312,12892,11292,698,NK,1373
4766,923,0,19930,2017,6,F,5155,4398,11292,14747,634,AS,1374
4770,14054,0,19930,2017,6,F,4477,3650,14747,11292,634,AS,1375
1222,0,0,20237,2017,6,F,4599,3906,11292,12217,675,AX,1376
1273,0,0,20237,2017,6,F,5021,4404,12217,11292,675,AX,1377
5483,1686,227,19805,2017,6,F,7604,6581,14100,11292,699,AA,1378
1950,0,0,20304,2017,6,F,2886,2101,10620,11292,673,OO,1379
1922,0,0,20304,2017,6,F,2997,2194,11292,10620,673,OO,1380
1379,0,0,20304,2017,6,F,3340,2622,11292,10849,629,OO,1381
1809,0,0,20304,2017,6,F,4913,4164,11292,14689,673,OO,1382
1101,0,0,20304,2017,6,F,2903,2205,12278,11292,629,OO,1383
2193,0,0,20304,2017,6,F,5148,4188,13930,11109,673,OO,1384
1889,0,0,20304,2017,6,F,4532,3814,14689,11292,673,OO,1385
3211,14,0,19977,2017,6,F,2329,1792,11292,12278,698,UA,1386
4354,186,0,19977,2017,6,F,6900,6119,11292,12953,694,UA,1387
4866,242,10318,19977,2017,6,F,6569,5856,11292,13204,614,UA,1388
4038,2019,13909,19977,2017,6,F,3376,2664,11292,14107,694,UA,1389
4094,697,3066,19977,2017,6,F,3153,2509,14107,11292,694,UA,1390
4744,0,40600,19977,2017,6,F,4110,3512,14893,11292,634,UA,1391
3996,3239,0,19393,2017,6,F,4862,4149,11292,11433,612,WN,1392
4458,0,0,20436,2017,6,F,6215,5120,10397,11292,698,F9,1393
6614,0,0,20436,2017,6,F,4198,3613,11292,14679,699,F9,1394
5280,0,0,20436,2017,6,F,2588,1925,11292,14869,694,F9,1395
5327,0,0,20436,2017,6,F,4610,3454,14679,11292,694,F9,1396
5338,0,0,20436,2017,6,F,2633,1842,14869,11292,694,F9,1397
1394,0,0,20237,2017,6,F,4817,3976,11292,14730,675,AX,1398
1343,0,0,20237,2017,6,F,5268,4641,14730,11292,675,AX,1399
0,1946318,279975,19917,2017,6,G,4421,3752,11292,14730,626,5X,1400
5404,0,0,20409,2017,6,F,6998,6327,11292,12478,699,B6,1401
