"PASSENGERS","FREIGHT","MAIL","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","UNIQUE_CARRIER_ENTITY","REGION","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,800.00,0.00,1199.00,"AMQ",20201,"Ameristar Air Cargo","06055","D","AMQ","Ameristar Air Cargo",1,4,10397,1039705,30397,"ATL","Atlanta, GA","GA","13","Georgia",34,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,3,"P",
0.00,0.00,0.00,1278.00,"AMQ",20201,"Ameristar Air Cargo","06055","D","AMQ","Ameristar Air Cargo",1,4,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,11996,1199603,31871,"GSP","Greer, SC","SC","45","South Carolina",37,2017,2,6,3,"P",
0.00,0.00,0.00,604.00,"G4",20368,"Allegiant Air","06035","D","G4","Allegiant Air",3,3,12889,1288903,32211,"LAS","Las Vegas, NV","NV","32","Nevada",85,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,2017,2,6,2,"L",
0.00,35.00,2.00,853.00,"DL",19790,"Delta Air Lines Inc.","01260","D","DL","Delta Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,14679,1467903,33570,"SAN","San Diego, CA","CA","06","California",91,2017,2,6,2,"F",
0.00,0.00,113.00,495.00,"DL",19790,"Delta Air Lines Inc.","01260","D","DL","Delta Air Lines Inc.",3,3,13851,1385103,33851,"OKC","Oklahoma City, OK","OK","40","Oklahoma",73,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,1,"F",
0.00,0.00,0.00,1671.00,"GL",20402,"Miami Air International","06690","D","GL","Miami Air International",2,2,10529,1052904,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,4,"L",
0.00,0.00,0.00,1136.00,"GL",20402,"Miami Air International","06690","D","GL","Miami Air International",2,2,11109,1110902,30189,"COS","Colorado Springs, CO","CO","08","Colorado",82,16091,1609103,31295,"YIP","Detroit, MI","MI","26","Michigan",43,2017,2,6,3,"L",
0.00,0.00,0.00,150.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,10558,1055803,30558,"BFF","Scottsbluff, NE","NE","31","Nebraska",65,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,2017,2,6,1,"F",
0.00,0.00,0.00,967.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,12448,1244805,32448,"JAN","Jackson/Vicksburg, MS","MS","28","Mississippi",53,2017,2,6,2,"F",
0.00,0.00,0.00,1709.00,"UA",19977,"United Air Lines Inc.","0A875","D","UA","United Air Lines Inc.",3,3,11292,1129202,30325,"DEN","Denver, CO","CO","08","Colorado",82,13303,1330303,32467,"MIA","Miami, FL","FL","12","Florida",33,2017,2,6,4,"F",
